doc_id,doc_dt,item,category,amount,price,discount,shop_num,cash_num
XD0072OW15795P5B3F1S174YD,2025-05-14 09:05:12,Яблоко (Австралия),Фрукты,3,710.82,3.0,1,3
XD0072OW15795P5B3F1S174YD,2025-05-14 09:05:12,Какао (ОАЭ) 150г.,"Чай, кофе, какао",3,63.89,0.0,1,3
XD0072OW15795P5B3F1S174YD,2025-05-14 09:05:12,Банан (ЮАР),Фрукты,2,70.75,1.0,1,3
XD0072OW15795P5B3F1S174YD,2025-05-14 09:05:12,Чай (Греция) 120г.,"Чай, кофе, какао",1,236.03,19.0,1,3
XD0072OW15795P5B3F1S174YD,2025-05-14 09:05:12,Пиво 4% Зыков Групп,Алкогольные напитки,1,110.88,8.0,1,3
XD0072OW15795P5B3F1S174YD,2025-05-14 09:05:12,Чипсы 140г.,"Чипсы, орехи, сухарики",4,463.65,35.0,1,3
XD0072OW15795P5B3F1S174YD,2025-05-14 09:05:12,Яйцо С2,Яйцо,5,503.57,46.0,1,3
MJ2555BW04376M2G6B4C805VU,2025-05-14 09:30:28,Батон пшен. 400г.,"Хлеб, выпечка",4,265.14,9.0,1,3
MJ2555BW04376M2G6B4C805VU,2025-05-14 09:30:28,Кетчуп 400г.,"Бакалея, соусы",3,503.81,8.0,1,3
MJ2555BW04376M2G6B4C805VU,2025-05-14 09:30:28,"Минеральная вода АО «Соловьев, Григорьева и Макаров»",Безалкогольные напитки,2,929.9,6.0,1,3
MJ2555BW04376M2G6B4C805VU,2025-05-14 09:30:28,Горошек 400г.,Консервы,1,481.25,9.0,1,3
MJ2555BW04376M2G6B4C805VU,2025-05-14 09:30:28,Кефир 1%  450г.,Кисломолочные продукты,3,545.11,42.0,1,3
MJ2555BW04376M2G6B4C805VU,2025-05-14 09:30:28,Сыр Ламбер 45% 200г.,Сыры,5,409.21,12.0,1,3
MJ2555BW04376M2G6B4C805VU,2025-05-14 09:30:28,Свинина 500г.,"Птица, мясо",2,431.09,10.0,1,3
MJ2555BW04376M2G6B4C805VU,2025-05-14 09:30:28,Сухарики 120г.,"Чипсы, орехи, сухарики",4,870.72,41.0,1,3
LK1383XH38933T7V0V7Z599PP,2025-05-14 10:03:30,Молоко ультрапастеризованное 3.5% 900г.,Молочные продукты,1,930.98,42.0,1,3
